centre_name,address,neighbourhood,lat,lng,curriculum,language_medium,fee_halfday_raw,fee_fullday_raw,scale,religious_orientation,source_primary,source_notes
Tadika Mutiara Cerah,,,3.1825895,101.5361922,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Genius Aulad,,,3.1386204,101.5261082,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Suria Aman,,,3.1799377,101.5401837,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Tiara Ria,,,3.1775712,101.5429219,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Naluri Bestari,,,3.1619121,101.5116308,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified: Overpass API - OpenStreetMap (elmina)]
Cubs Early Years,,,3.1879838,101.5216726,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Bright Pearl Educare Centre,"1, Jalan Utarid U5/7, Seksyen U5, Subang Bestari, 40150",,3.1823789,101.5361725,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Taska Imanina Genius,,,3.1640814,101.5143796,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
SIM Educare Bandar Utama,,,3.1473769,101.6112548,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Little Leaders,,,3.1775712,101.5454193,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Naluri Bestari,,,3.1782989,101.5479114,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Pasti Az Zahra,,,3.0496421,101.4946219,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Taska Permata MPSJ,,,3.0563821,101.5710373,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika BrainChild,,,3.0402312,101.5904797,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Pusat Jagaan Kanak-kanak Sayang,"65, Jalan SS1/11, Petaling Jaya, 47300",,3.097952,101.6187822,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Manarul Islam,"3, Jalan SS 1/35, Petaling Jaya, 47300",,3.1012075,101.620138,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Bahtera Ilmu Child Development Centre,,,3.1099179,101.5323855,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
REAL Kids,,,3.1070129,101.5356122,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika SriComel,,,3.0575718,101.5768554,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tabika Kemas SS4A Kelana Jaya,Petaling Jaya,,3.1083498,101.6088692,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Taska SUK,,,3.0853191,101.5133306,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Si Cilik Pintar,1,,3.0734469,101.4820671,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Cahaya Minda,"Jalan Tupai 20/16, Seksyen 20, 40300",,3.0569575,101.5395291,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tabika Kemas Seri Setia Pekan,,,3.0916678,101.6152742,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tabika Kemas Seri Setia,"303, Jalan SS 9A/8, Petaling Jaya",,3.0901657,101.6180757,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Kemas,,,3.1530969,101.5268652,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Perpaduan,,,3.154438,101.5277053,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Twinkle Little House,,,3.0754959,101.5740707,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Witty Peas,,,3.0737151,101.5781698,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Beaconhouse,,,3.0723317,101.5784341,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Refelsia Hana,,,3.1711691,101.5140344,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Taman Didikan Kanak-Kanak Chim,"77, Jalan SS 21/3, Petaling Jaya, 47400",,3.1376731,101.6203675,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Sim Tuition KB Subang,"Cheng 38 D, Jalan 1D",,3.1442148,101.5346517,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Treemendous Ardence,,,3.0951314,101.4804084,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tabika KEMAS,,,3.0421376,101.514524,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Taski ABIM,,,3.0407559,101.5142281,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Tadika Rakyat,,,3.0808804,101.6149554,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Kinderland,"No.2, Jalan USJ 11/4P, Subang Jaya, 47620",,3.0473713,101.5769243,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Taska Rumah Adley,,,3.0424014,101.522866,,,,,,,Overpass API,[Verified: Overpass API - OpenStreetMap (main)]
Ace Arrows Kindergarten (Tadika Panah Cemerlang),"No. 5C, Persiaran Gerbang Utama, Bukit Jelutong, Seksyen U8, 40150 Shah Alam, Selangor",,,,Montessori,,RM 595,RM570-1270,,,Tavily Search,[Verified: Tavily Search — https://kidzenrol.com/partner-school/ace-arrows-kindergarten] Fees from website.
Kiddy123.com,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/myKiddy123/photos/fees-info-httpsww]
REAL Kids Bukit Jelutong,"Jalan Jendela U8/20, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia",,3.1029869,101.5368361,Cambridge Early Years,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://realkids.edu.my/centre-locator/real-kids-bukit-jelut] Fees from website.
Ace Arrows Kindergarten,"No. 5C, Persiaran Gerbang Utama,   
  Bukit Jelutong, Seksyen U8,   
  40150 Shah Alam,   
  Sela",,,,Play-based,,,,,,Tavily Search,[Verified: Tavily Search — https://www.acearrows.com.my/]
Todak Kids 2026 Registration is Still Open! Looking for a school that ,,,,,,,RM350,RM350,,,Tavily Search,[Verified: Tavily Search — https://www.instagram.com/p/DPk-gqOk96z/] Fees from website.
2026 INTAKE IS NOW OPEN! Assalamualaikum Join our ,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/aalimauladHQ/posts/-2026-intake-is-]
Taska Little Genius,Shah Alam,,3.0739429,101.5185278,Islamic-integrated,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/taskalittlegenius/] | [Verified: Tavily Search — https://www.facebook.com/p/Taska-Little-Genius-1000391831981]
"Little Oak Tree, Bukit Jelutong","Jalan Bazar U8/100,   
Bukit Jelutong, Shah Alam, Selangor 40150  
Malaysia

012-368",,,,Holistic,,,,,,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/article/little-oak-tree-bukit-jelut] | [Verified: Tavily Search — https://www.facebook.com/LittleOakTreeBukitJelutong/]
TASKA LITTLE GENIUS,"Jalan Bazar,
- **Telephone:** 0122286499
- **Type:** Institution
- **City:** Shah Ala",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://daycare.my/taska-little-genius/]
Bukit Jelutong – Cubs Education Group,"Persiaran Gerbang Utama Bukit Jelutong, Seksyen U8, 40150 Shah Alam, Selangor",,3.1012503,101.5429292,,,,,,,Tavily Search,[Verified: Tavily Search — https://cubs.edu.my/bukit-jelutong/]
Little Oak Tree: Kindergarten,"Jalan Bazar U8/100, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia",,3.0972485,101.5369629,Holistic,,,,,,Tavily Search,[Verified: Tavily Search — https://www.littleoaktree.center/]
E-Prasekolah,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://eprasekolah.moe.gov.my/]
*PUSAT JAGAAN CIK IRIS,BUKIT JELUTONG (SEKSYEN U8) SHAH ALAM,,3.1132982,101.5322119,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/transitcikiris/posts/pusat-jagaan-c]
Pusat Jagaan,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.jkm.gov.my/main/pusat-jagaan?frontendpage=pusat-]
Islamic Playschool Daycare Setia Alam – Brainy Bunch International Montessori,"No. 56, Jalan Setia Perdana U13/25H,  
 Precint 12, Setia Alam,  
 40170 Shah Alam, Selangor",,,,Montessori,,rm1,rm1,,,Tavily Search,[Verified: Tavily Search — https://brainybunch.sg/preschool-playschool-branches-list/se] Fees from website.
"Odyssey, The Global Preschool","Jalan Setia Dagang U13/AJ, Seventh Avenue, Setia Alam Seksyen U13, Shah Alam, 40170,",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://educationdestinationmalaysia.com/school/odyssey-glob]
My Little Preschool,,,,,Montessori,,,,,,Tavily Search,[Verified: Tavily Search — https://www.mylittlepreschools.com/]
Kinderland Setia Alam,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/myKiddy123/posts/-kinderland-setia-]
Genius Kids' Land Preschool,"jalan setia indah U13/9M setia alam, 40170 Shah alam, SDE",,,,Montessori,,RM 988,RM788-1198,,,Tavily Search,[Verified: Tavily Search — https://kidzenrol.com/partner-school/genius-kids-land-presch] Fees from website.
Kindergarten in Setia Alam,"Jalan Setia Tropika U13/18T, Setia Eco-parkShah Alam, Selangor, MY

![International S",,,,Cambridge Early Years,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://www.tenby.edu.my/setia-eco-park/learning-journey/ear] Fees from website.
Tadika dan Taska di Setia Alam,"Jalan Setia Gemilang U13/BG Setia Alam 40170 Shah Alam, Selangor",,,,,,RM 400,RM 400,,,Tavily Search,[Verified: Tavily Search — https://explore.anak2u.com.my/negeri/selangor/Setia-Alam-2] Fees from website.
Tadika Generasi Cilik Genius,Setia Alam,,3.1077904,101.4621432,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/tadikagenerasigeniussetiaalam/?loca]
Tadika Genius Kids' Land Setia Alam,Setia Alam launching our Open Days on Saturdays as,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/geniuskidsland/?locale=ms_MY]
Preschool Setia Alam,"Setia Alam, Shah Alam

# Campus Setia Alam

#####",,,,Islamic-integrated,,,,,,Tavily Search,[Verified: Tavily Search — https://www.nimblebee.my/setia-alam/]
"Driving directions to Tadika Dzul Iman Setia Alam, Shah ","Jalan Setia Indah U13/12s, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",,3.1020965,101.4616792,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.waze.com/live-map/directions/my/selangor/shah-al]
Taska Little Sujood Setia Alam,"Setia Alam, Shah Alam",,3.1077904,101.4621432,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/Taskalittlesujoodsetiaalam/photos/]
Taska & Tadika Setia Mu,"Shah Alam Library, and more",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://setiamugroup.com/]
Genius Kids’ Land Nursery & Preschool,"No. 2, Jalan Setia Utama U13/37R, Setia Utama 2, Alam Nusantara,   
Setia Alam, Shah Alam, S",,,,Cambridge Early Years,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/article/genius-kids-land-nursery-pr] Fees from website.
Love & Laugh Setia Alam Childcare,"Jalan Setia Dagang AK Seksyen, Setia Alam, 40170 Shah Alam, Selangor

##### How can I",,,,Play-based,,,,,,Tavily Search,[Verified: Tavily Search — https://loveandlaugh.care/love-laugh-setia-alam/]
KOTI nursery,"Setia Alam ☕️ Shop, explore, and unwind, all in on",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/KOTIhouse/]
Dragonfly Preschool Setia Alam For Ages 1 To 6,"Jalan Setia Perdana BE U13/BE,

**Book a School Visit**

We invite parents to visit t",,,,Montessori,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://www.hiparents.com.my/en/showproducts/productid/58321] Fees from website.
Preschool in,Selangor](https://smallwonderpreschool,,,,Cambridge Early Years,,rm2,rm2,,,Tavily Search,[Verified: Tavily Search — https://smallwonderpreschool.com/MY/setia-eco-park/] Fees from website.
AKE Denai Alam,"Jalan Elektron U16/J, Seksyen U16 Denai Alam, 40160 Shah Alam, Selangor",,3.1522287,101.5152603,,,,,,,Tavily Search,[Verified: Tavily Search — https://explore.anak2u.com.my/details/ake-denai-alam-branch-]
Kinderland Denai Alam,"Jalan Elektron U16/E, Denai Alam, Shah Alam, Selangor Age Group: 18 months - 6 years",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/myKiddy123/posts/-kinderland-denai-]
Kinderland Denai Alam,,,,,,,"RM1000,","RM1000,",,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/myKiddy123/posts/-kinderland-denai-] Fees from website.
Islamic Playschool Daycare Denai Alam – Brainy Bunch International Montessori,"Jalan Elektron Seksyen U16, Denai Alam,  
 40160 Shah Alam, Selangor

##### Manager",,,,Montessori,,rm1,rm1,,,Tavily Search,[Verified: Tavily Search — https://brainybunch.sg/preschool-playschool-branches-list/se] Fees from website.
REAL Kids Denai Alam 2,Jalan Elektron commercial area,,3.1523007,101.514493,Cambridge Early Years,,"RM100,000","rm,",,,Tavily Search,[Verified: Tavily Search — https://realkids.edu.my/centre-locator/real-kids-denai-alam-] Fees from website.
Love and Laugh Denai Alam Childcare,"Jalan Elektron G U16/G, Seksyen U16, Denai Alam, 40160 Shah Alam, Selangor

##### How",,,,Play-based,,,,,,Tavily Search,[Verified: Tavily Search — https://loveandlaugh.care/love-laugh-denai-alam/]
Kinderland Malaysia. Empowering Young Minds for Over 45 Years,Denai Alam](https://kinderlandmsia,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://kinderlandmsia.com.my/]
Love & Laugh Islamic Preschool – Love and Laugh Today. Lead & Uplift Tomorrow,"Lorong Maarof****– Bangsar**

106, Lorong Maarof,  
 Bangsar, 59000 Kuala Lumpur

####",,,,Play-based,,"RM 1,680",RM100,,,Tavily Search,[Verified: Tavily Search — https://bestislamicpreschool.com/] Fees from website.
Little Qalifa Childcare Centre Elmina,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/LittleQalifa/]
Kidstime Elmina,Elmina Green – Preschool & Playschool A warm a,,,,Play-based,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/p/Kidstime-Elmina-61581051363739/]
Elmina,"Jln Frekuensi R U16/R Seksyen U16 Elmina East, 40160 Shah Alam, Selangor

Programme",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://cubs.edu.my/elmina-shah-alam/]
Bright Kids Elmina,"Elmina,",,,,,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/100090674091873/posts/-selamat-hari] Fees from website.
"MRC Kids Elmina · Shah Alam Trilingual Whole-Brain Preschool (Ages 3–6) Academy Class Selangor Malaysia Education, Services","Jalan Eserina AA U16/AA, Seksyen 16, Elmina East (Temu Business Centre), Shah Alam, S",,,,Montessori,,"rm,","rm,",,,Tavily Search,[Verified: Tavily Search — https://www.hiparents.com.my/en/showproducts/productid/61599] Fees from website.
Q-dees Preschool,,,,,STEAM,,,,,,Tavily Search,[Verified: Tavily Search — https://www.q-dees.com/]
Keedsflix Centre Finder – Centre Finder for Keedsflix,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://centrefinder.keedsflix.com/]
"Bright Kids, Elmina","Jalan Eserina AA, U16/AA, Elmina East,    
  Elmina, Shah Alam, Selangor 40160   
Mal",,,,Montessori,,RM480,RM780,,,Tavily Search,[Verified: Tavily Search — https://www.kiddy123.com/listing/bright-kids-elmina-shah-ala] Fees from website.
Bright Kids Elmina,"Elmina East, Shah Alam WhatsApp: 012-669 2715",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/p/Bright-Kids-Elmina-10009067409187]
OPEN DAY KINDERHIVE ELMINA GREEN! Saturday ,"Shah Alam Seksyen 7 and KinderHive Puncak Alam, e",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.instagram.com/reel/DQGWmqCESNC/]
Islamic Preschool & Kindergarten In,"Jalan Setia Prima (S) U13/S Setia Alam, Seksyen U13, 40170 Shah Alam, Selangor

* TTD",,,,Islamic-integrated,,,,,,Tavily Search,[Verified: Tavily Search — https://geniusaulad.edu.my/school-locator-selangor-shah-alam]
NURI Education Centre,"Shah Alam A) Maths, Science (both in bm)",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/nuriedu/posts/the-no1-preschool-exp]
International Schools in,Selangor](https://educationdestinationmalaysia,,,,Cambridge Early Years,,,,,,Tavily Search,[Verified: Tavily Search — https://educationdestinationmalaysia.com/blogs/international]
Angels Bud community centers focus on supporting education for ,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/Angelsbudgroup/posts/angels-bud-com]
Tadika dan Taska di Shah Alam,"Jln Setia Gemilang BG U13/BG, 40170 Shah Alam, Selangor

Harga yuran sekitar 

**RM",,,,,,RM 420,RM 650,,,Tavily Search,[Verified: Tavily Search — https://explore.anak2u.com.my/negeri/selangor/Shah-Alam-14] Fees from website.
Tadika Jobs in Glenmarie Cove,Selangor,,3.2083304,101.304146,,,,,,,Tavily Search,[Verified: Tavily Search — https://my.jobstreet.com/tadika-jobs/in-Glenmarie-Cove-Selan]
Our new located at Glenmarie,Shah Alam will be opening soon ! Looking for infa,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/kindyhaus/posts/our-new-branch-loca]
TASKA TNB GLENMARIE,"JALAN PENGATURCARA U1/51A, KAWASAN PERINDUSTRIAN TEMASYA ; Telephone:",,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://daycare.my/taska-tnb-glenmarie/]
KindyHaus Baby & Child Care Centre,"No.2, Jalan Kenyalang 11/8A, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1651806,101.5903522,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.kindyhaus.com/]
Islamic Playschool Daycare Setia Alam,"No. 56, Jalan Setia Perdana U13/25H,  
 Precint 12, Setia Alam,  
 40170 Shah Alam, Selangor",,,,Montessori,,rm1,rm1,,,Tavily Search,[Verified: Tavily Search — https://brainybunch.sg/preschool-playschool-branches-list/se] Fees from website.
Brainy Bunch International Islamic School in,"No. 56, Jalan Setia Perdana U13/25H, Precint 12, Setia Alam, 40170 Shah Alam, Selangor

![Sch",,,,Montessori,,"RM1,400","RM1,500",,,Tavily Search,[Verified: Tavily Search — https://schooladvisor.my/schools/brainy-bunch-setia-alam] Fees from website.
"Islamic Preschool & Playschool Setia Alam, Shah Alam, Selangor – Brainy Bunch International Montessori","No. 56, Jalan Setia Perdana U13/25H, Precint 12, Setia Alam,

40170 Shah Alam, Selangor

## M",,,,Montessori,,RM149,RM149,,,Tavily Search,[Verified: Tavily Search — https://brainybunch.sg/branches-b/islamic-preschool-playscho] Fees from website.
Brainy Bunch International Islamic Montessori School,"Jalan SP 10/1,, Selangor Cyber Valley, Cyberjaya 63000, Selangor Malaysia)   [![Googl",,,,Montessori,,,,,,Tavily Search,[Verified: Tavily Search — https://educationdestinationmalaysia.com/school/brainy-bunch]
REAL Kids Preschool,,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://m.facebook.com/realkidsofficial/photos/-we-are-the-i]
Best International & Private Schools In,"Jalan Hulu Langat,   
  43100 Hulu Langat, Selangor Malaysia

  [+603 9021 3601](tel:",,,,Cambridge Early Years,,,,,,Tavily Search,[Verified: Tavily Search — https://realschools.edu.my/]
Smart Reader® Worldwide ,,,,,Islamic-integrated,,,,,,Tavily Search,[Verified: Tavily Search — https://smartreader.edu.my/]
Little Caliphs Kindergarten Tadika Prasekolah Setia Alam,"No. 1, Jalan Setia Impian U13/6A, Seksyen U13, 40170 Shah Alam, Selangor” custom\_font\_weig",,,,Islamic-integrated,,,,,,Tavily Search,[Verified: Tavily Search — https://littlecaliphs.com/kindy/little-caliphs-kindergarten-]
Little Caliphs Setia Alam,SETIA ALAM IS OPEN FOR NEW REGISTRATION InshaAllah,,,,,,,,,,Tavily Search,[Verified: Tavily Search — https://www.facebook.com/LCSetiaAlam/]
N.A.T.U.R.A.L L.I.V.I.N.G: Tadika Little Caliphs Platinum,"No. 28 Jalan Platinum 7/43D Seksyen 7, 40000 Shah Alam, Selangor   
   
 Person In Charge :",,,,Islamic-integrated,,RM50,RM1000,,,Tavily Search,[Verified: Tavily Search — http://umney.blogspot.com/2013/02/tadika-little-caliphs-plat] Fees from website.
Terms and Condition LCAM .docx,"Jalan Beranang 2, 27/14A, Taman Alam Megah, Seksyen 27, 40400 Shah Alam, Selangor",,,,Islamic-integrated,,RM10,"rm,",,,Tavily Search,[Verified: Tavily Search — https://anyflip.com/eoikk/lepi/basic] Fees from website.
Islamic Kindergarten l Little Caliphs International Sdn Bhd,,,,,Montessori,,,,,,Tavily Search,[Verified: Tavily Search — https://littlecaliphs.com/]
